Button Number,Latitude,Longitude
ゴミ,34.06371600230069,-118.24763261667991
落書き,34.06197159728104,-118.24776174146841
落書き,34.05818655518293,-118.25408571398785
ゴミ,33.97493900185452,-118.28127456278798
落書き,33.97493900185452,-118.28127456278798
ゴミ,33.974609123118555,-118.28394303173806
落書き,33.974607858707905,-118.283892274271
ゴミ,33.97456943056117,-118.2819021052804
ゴミ,33.97415363232975,-118.28133171435285
ゴミ,33.972809071130044,-118.28132660055562
ゴミ,33.971432679494875,-118.28133925824164
ゴミ,33.91644096005141,-118.28716015454222
ゴミ,33.9164988842167,-118.2889863197862
ゴミ,33.91649863159146,-118.29025721897983
ゴミ,33.92821442056366,-118.29160872566759
ゴミ,33.955309389838675,-118.37712107615947
ゴミ,33.944890837265135,-118.39634455163923
ゴミ,33.94881648789958,-118.39331962278203
ゴミ,33.94881648789689,-118.39274472425787
ゴミ,33.94886258699836,-118.39435701669129
落書き,33.957472891257574,-118.39612617386199
落書き,33.975225346606635,-118.43238491542468
ゴミ,33.976699407944366,-118.4338122963339
落書き,33.97680552462917,-118.43395725613637
ゴミ,33.97795993957756,-118.43565087403417
鉄格子,33.99078964873655,-118.44796480767052
落書き,33.994313001271465,-118.45321159037007
落書き,33.99693159194406,-118.45870084712095
落書き,34.00054849032357,-118.4661614780866
落書き,34.00479099859389,-118.47335844248613
ゴミ,34.012209556519956,-118.49018689161183
落書き,34.03561849270379,-118.47133901184387
ゴミ,34.041232119478856,-118.46174024456124
ゴミ,34.042222440649766,-118.45934877464873
ゴミ,34.04357520010972,-118.45632114724886
落書き,34.04485023578576,-118.45340290139222
ゴミ,34.047073541365705,-118.44613319052802
ゴミ,34.04781852718998,-118.44340762826918
ゴミ,34.04492276244434,-118.44209638805934
落書き,34.041190972797246,-118.43897387525196
ゴミ,34.03920161992942,-118.43722702601143
落書き,34.03854288660667,-118.43664378720288
落書き,34.03751027001551,-118.43567653715854
落書き,34.03669364614061,-118.43498415132548
ゴミ,34.03652005562751,-118.43484114405214
落書き,34.03564676675725,-118.43456842829274
ゴミ,34.031869321490376,-118.43167618662739
ゴミ,34.03157731974014,-118.43142852693158
落書き,34.031542807422106,-118.43140497003968
ゴミ,34.031542807422106,-118.43140497003968
ゴミ,34.0312285189524,-118.43117148601185
ゴミ,34.03077600881076,-118.43081293181937
落書き,34.02884366152477,-118.42960272656755
ゴミ,34.02653674508397,-118.42821021812885
落書き,34.01095913367476,-118.41575369122381
落書き,33.999732660939195,-118.40124090833062
ゴミ,33.983444740438934,-118.39483638230176
ホームレス,33.95518371463073,-118.39625166619254
